Cust. ID,Arrival Time,Start Execution,Server ID,Exit System,Waiting Time,Turaround Time
139,1674.54,1674.54,0,1676.4,0,1.86000000000013
140,1687.12,1687.12,0,1688.32,0,1.20000000000005
141,1697.43,1697.43,0,1698.06,0,0.629999999999882
142,1699.88,1699.88,0,1700.19,0,0.309999999999945
143,1701.7,1701.7,0,1701.95,0,0.25
144,1710.42,1710.42,0,1710.6,0,0.179999999999836
145,1722.35,1722.35,0,1722.47,0,0.120000000000118
146,1727.81,1727.81,0,1730.06,0,2.25
147,1745.34,1745.34,0,1747.27,0,1.93000000000006
148,1746.85,1747.27,0,1747.91,0.420000000000073,1.06000000000017
149,1770.98,1770.98,0,1772.95,0,1.97000000000003
150,1772.7,1772.95,0,1774.39,0.25,1.69000000000005
151,1774.53,1774.53,0,1775.35,0,0.819999999999936
152,1780.86,1780.86,0,1781.42,0,0.560000000000173
153,1807.14,1807.14,0,1807.53,0,0.389999999999873
154,1832.25,1832.25,0,1832.38,0,0.130000000000109
155,1839.51,1839.51,0,1839.52,0,0.009999999999991
156,1851.79,1851.79,0,1851.97,0,0.180000000000064
157,1861.09,1861.09,0,1863.96,0,2.87000000000012
158,1887.3,1887.3,0,1889.45,0,2.15000000000009
159,1905.74,1905.74,0,1906.54,0,0.799999999999955
160,1909.56,1909.56,0,1910.33,0,0.769999999999982
161,1910.29,1910.33,0,1911.77,0.039999999999964,1.48000000000002
162,1930.3,1930.3,0,1930.38,0,0.080000000000155
163,1940.25,1940.25,0,1940.73,0,0.480000000000018
164,1946.31,1946.31,0,1947.26,0,0.950000000000046
165,1970.78,1970.78,0,1970.9,0,0.120000000000118
166,1976.2,1976.2,0,1978.17,0,1.97000000000003
167,1988.9,1988.9,0,1989.92,0,1.01999999999998
168,1997.37,1997.37,0,1998.17,0,0.800000000000182
169,2015.19,2015.19,0,2015.53,0,0.339999999999918
170,2017.07,2017.07,0,2017.67,0,0.600000000000136
171,2032.08,2032.08,0,2032.35,0,0.269999999999982
172,2033.86,2033.86,0,2034.18,0,0.320000000000164
173,2050.49,2050.49,0,2053.56,0,3.07000000000016
174,2051.58,2053.56,0,2053.81,1.98000000000002,2.23000000000002
175,2073.31,2073.31,0,2073.63,0,0.320000000000164
176,2076.47,2076.47,0,2077.8,0,1.33000000000038
177,2087.12,2087.12,0,2087.51,0,0.390000000000327
